Year,PollutantID,Pollutant_Name,PlantID,Site,Easting,Northing,Operator,SectorID,Sector,Emission,Unit,Country,Datatype
2022,21,Ammonia,820,Leek,397980.0,355550.0,Croda Leek Ltd,10.0,Chemical industry,0.3,Tonnes,England,M
2022,21,Ammonia,938,Eastham,337120.0,379840.0,Eastham Refinery Ltd,9.0,Processing & distribution of petroleum products,0.3,Tonnes,England,M
2022,21,Ammonia,1028,Billingham,448790.0,522300.0,Exwold Technology Ltd,10.0,Chemical industry,0.02,Tonnes,England,M
2022,21,Ammonia,1119,Ulverston,330650.0,477590.0,Glaxo Operations UK Ltd,10.0,Chemical industry,0.0023,Tonnes,England,M
2022,21,Ammonia,1430,Deeside,333270.0,367530.0,J Reid Trading Ltd,15.0,Mechanical engineering,0.00061655254628183,Tonnes,Wales,M
2022,21,Ammonia,1517,Scunthorpe,490230.0,411550.0,Koppers UK Ltd,10.0,Chemical industry,0.0004602,Tonnes,England,M
2022,21,Ammonia,1629,Tintagel,208000.0,88100.0,Maybridge Chemical Co Ltd,10.0,Chemical industry,0.3,Tonnes,England,M
2022,21,Ammonia,1855,King's Lynn,561220.0,321790.0,Porvair International Ltd,10.0,Chemical industry,0.3,Tonnes,England,M
2022,21,Ammonia,1881,Hindley,363700.0,402400.0,PPG Industries (UK) Ltd,4.0,Other mineral industries,0.16,Tonnes,England,M
2022,21,Ammonia,1933,Andover,433880.0,146110.0,Resad Polymers Ltd,10.0,Chemical industry,0.3,Tonnes,England,M
2022,21,Ammonia,2380,Cleckheaton,418400.0,426300.0,TMD Friction UK Ltd,17.0,Vehicles,0.3,Tonnes,England,M
2022,21,Ammonia,2599,Dundee,344628.0,732731.0,Dundee Waste Recycling Ltd,21.0,"Waste collection, treatment & disposal",1.78,Tonnes,Scotland,M
2022,21,Ammonia,2600,Lerwick,446000.0,1142000.0,Shetland Island Council,21.0,"Waste collection, treatment & disposal",0.05,Tonnes,Scotland,O
2022,21,Ammonia,2666,Wissington,570340.0,299922.0,British Sugar Plc,5.0,"Food, drink & tobacco industry",222.77,Tonnes,England,O
2022,21,Ammonia,2667,Bury St Edmunds,586137.0,265420.0,British Sugar Plc,5.0,"Food, drink & tobacco industry",148.51,Tonnes,England,O
2022,21,Ammonia,2668,Newark,479300.0,355200.0,British Sugar Plc,5.0,"Food, drink & tobacco industry",118.81,Tonnes,England,O
2022,21,Ammonia,2671,Cantley,638628.0,303328.0,British Sugar Plc,5.0,"Food, drink & tobacco industry",111.38,Tonnes,England,O
